Everything has changed.	semuanya telah berubah
But he definitely wanted to try.	tapi dia pasti ingin mencoba
I'm not really sure how to do this.	saya tidak begitu yakin bagaimana melakukan ini
We can do it for ourselves.	kita bisa melakukannya untuk diri kita sendiri
You won't believe this.	anda tidak akan percaya ini
You have no fear of them.	anda tidak memiliki rasa takut dari mereka
Of course, it shouldn't be like that.	tentu saja seharusnya tidak seperti itu
I like that one.	saya suka yang itu
They must be here by now.	mereka pasti sudah ada di sini sekarang
Great to work with.	besar untuk bekerja dengan
But he wasn't sure.	tapi dia tidak yakin
What they will do, we don't know.	apa yang akan mereka lakukan kami tidak tahu
Life always finds a way.	hidup selalu menemukan jalan
It's not about you, they are who they are.	ini bukan tentang anda mereka adalah siapa mereka
But we are happy.	tapi kami senang
He's from here.	dia dari sini
I will definitely try this.	saya pasti akan mencoba ini
That can be awesome.	itu bisa menjadi luar biasa
I am very very happy to have found them.	saya sangat sangat senang telah menemukan mereka
We'll probably go tonight.	kami mungkin akan pergi malam ini
You should look two years from now.	anda harus melihat dua tahun dari sekarang
But works well for others.	tapi bekerja dengan baik untuk yang lain
No excuses with him.	tidak ada alasan dengan dia
I have nothing to fear.	aku tidak perlu takut
You are already where you should be.	anda sudah berada di tempat yang seharusnya
And back again.	dan kembali lagi
I didn't hear that either.	saya juga tidak mendengar itu
Too many.	terlalu banyak
That doesn't mean much.	itu tidak berarti banyak
Should be on top.	seharusnya di atas
They never make anything happen.	mereka tidak pernah membuat sesuatu terjadi
I already knew that.	aku sudah tahu itu
He thinks you are amazing.	dia pikir kamu luar biasa
Wrong to right.	salah ke benar
I will be here the whole time.	aku akan berada di sini sepanjang waktu
You become stronger.	anda menjadi lebih kuat
I also want to make some.	saya juga ingin membuat beberapa
As usual, you look amazing.	seperti biasa kamu terlihat luar biasa
Most are probably gone or dead.	sebagian besar mungkin sudah pergi atau mati
That's what he did too.	itu juga yang dia lakukan
They don't have to live like us.	mereka tidak harus hidup seperti kita
It turned really hard.	itu berubah sangat keras
We're just getting started.	kami baru saja mulai
I don't speak for other people.	saya tidak berbicara untuk orang lain
I do not know that.	aku tidak tahu itu
It works and works well.	ini bekerja dan bekerja dengan baik
It should be so and so.	itu harus begitu dan begitu
They have to live together.	mereka harus hidup bersama
See, again, p.	lihat sekali lagi hal
I just can't do it all myself.	aku hanya tidak bisa melakukan semuanya sendiri
It's always me, me, me.	itu selalu aku aku aku
If they lose them, you lose them.	jika mereka kehilangan mereka anda kehilangan mereka
But still not good.	tapi tetap tidak bagus
I wish we had more.	saya berharap kami memiliki lebih banyak
One should try both parts.	seseorang harus mencoba kedua bagian
The two people don't need to look the same.	kedua orang itu tidak perlu terlihat sama
Then walk out the door.	kemudian berjalan keluar pintu
It's quite interesting to.	ini cukup menarik untuk
He just wanted to come back.	dia hanya ingin kembali
Something will give.	sesuatu akan memberi
You really did.	anda benarbenar melakukannya
And then we come back.	dan kemudian kita kembali
Everyone works differently.	semua orang bekerja secara berbeda
And of course, we want it to work.	dan tentu saja kami ingin itu berhasil
Already good.	sudah bagus
If they think.	jika mereka berpikir
She lost him.	dia kehilangan dia
I think he knows that.	saya pikir dia tahu itu
He always goes out of his way to help people.	dia selalu pergi keluar dari jalan untuk membantu orang
This is our home.	ini adalah rumah kami
You need one.	anda membutuhkan satu
No, but he didn't know that.	bukan tapi dia tidak tahu itu
They don't want to know.	mereka tidak ingin tahu
Hope someone will do something about him.	berharap seseorang akan melakukan sesuatu tentang dia
I know some parts.	saya tahu beberapa bagian
He would die for us.	dia akan mati untuk kita
That's beyond sick.	itu di luar sakit
That matter.	hal itu
It won't stop.	hal ini tidak akan berhenti
And they will remain so.	dan mereka akan tetap begitu
I really want to see them do it.	saya sangat ingin melihat mereka melakukannya
Losing a man like that must be hard.	kehilangan pria seperti itu pasti sulit
Something that didn't work right away.	sesuatu yang tidak segera berhasil
I believe she is a good woman.	saya percaya dia adalah wanita yang baik
Nice place and people.	tempat dan orang yang bagus
You can try anything.	anda dapat mencoba apa saja
This is their voice.	ini adalah suara mereka
There will be no way down.	tidak akan ada jalan ke bawah
I didn't get there.	saya tidak sampai di sana
He had never heard of anything like it.	dia belum pernah mendengar yang seperti itu
But, you can easily take more of them.	tapi anda dapat dengan mudah mengambil lebih banyak dari mereka
I don't want that to happen.	saya tidak ingin itu terjadi
That is a very long time.	itu adalah waktu yang sangat lama
It should scare me more than that.	itu seharusnya membuatku takut lebih dari itu
And that's how some of you are.	dan seperti itulah beberapa dari anda
We can go there.	kita bisa pergi ke sana
What would happen if.	apa yang akan terjadi jika
I didn't hear anything.	aku tidak mendengar apaapa
You know who is best for you, and who is not.	anda tahu siapa yang terbaik untuk anda dan siapa yang tidak
It's not in this case.	itu tidak ada dalam kasus ini
Sleep in your own bed.	tidur di tempat tidur anda sendiri
There is a man who lives near my house.	ada seorang pria yang tinggal di dekat rumah saya
Sure enough, they were gone.	benar saja mereka sudah pergi
Works well on both.	bekerja dengan baik pada keduanya
But he seems to know what it is.	tapi sepertinya dia tahu apa itu
My parents won't say anything.	orang tua saya tidak akan mengatakan apaapa
It's bigger than before.	itu lebih besar dari sebelumnya
This is not fear.	ini bukan rasa takut
He's just sleeping.	dia hanya tidur
We have to get back to that.	kita harus kembali ke itu
He didn't come to my door.	dia tidak datang ke pintu saya
This became very difficult for me.	hal ini menjadi sangat sulit bagi saya
At least not from me, or from someone like me.	setidaknya bukan dari saya atau dari orang seperti saya
I wish there were more like you.	saya berharap ada lebih banyak seperti anda
They all saw that.	mereka semua melihat itu
You know that too.	anda tahu itu juga
In this case, time is very important.	dalam kasus ini waktu sangat penting
All of that works.	semua itu bekerja
Like the first time.	seperti pertama kali
Again, that's not uncommon.	sekali lagi itu tidak biasa
Like, right at this moment.	seperti tepat pada saat ini
Not all.	tidak semua
We didn't go.	kami tidak pergi
I have found some, but not enough.	saya telah menemukan beberapa tetapi tidak cukup
You can't think.	anda tidak bisa berpikir
It was important because something was going on.	itu penting karena sesuatu sedang terjadi
They may also be afraid of their job.	mereka mungkin juga takut akan pekerjaan mereka
He knew that something would happen to him.	dia tahu bahwa sesuatu akan terjadi padanya
Maybe we'll find another one.	mungkin kita akan menemukan yang lain
I really feel we can.	saya benarbenar merasa kita bisa
He doesn't have to do anything.	dia tidak perlu melakukan apa pun
It's enough.	sudah cukup
I tried to stand.	aku mencoba berdiri
I always hope.	saya selalu berharap
And enough, it seems, for now.	dan cukup sepertinya untuk saat ini
But of course, he didn't have to.	tapi tentu saja dia tidak perlu
I now .	aku sekarang
Then finally he came in.	lalu akhirnya dia masuk
I definitely won't do it.	saya pasti tidak akan melakukannya
Or things to do.	atau halhal yang harus dilakukan
This is very important to me.	hal ini sangat penting bagi saya
Not because they left.	bukan karena mereka pergi
Too good, actually.	terlalu baik sebenarnya
It gives me sleepless nights.	ini memberi saya malam tanpa tidur
Very different things.	halhal yang sangat berbeda
They have to be there.	mereka harus berada di sana
Both of them are no longer with us.	keduanya tidak lagi bersama kita
This should be good.	ini seharusnya bagus
He has a voice.	dia memiliki suara
At least not me.	setidaknya bukan aku
Must have taken at least a year.	harus telah mengambil setidaknya satu tahun
Even things that are supposed to go right don't.	bahkan halhal yang seharusnya berjalan dengan benar tidak
But even this is too strong.	tetapi bahkan ini terlalu kuat
Never been so close.	pernah begitu dekat
He didn't think long.	dia tidak berpikir lama
Then you find out who's down there.	kemudian anda menemukan siapa yang ada di bawah sana
We will work differently.	kami akan bekerja secara berbeda
Those people were way ahead of us.	orangorang itu jauh di depan kami
He will do anything.	dia akan melakukan apa pun
That's what we start now.	itu yang kita mulai sekarang
But not for me and him.	tapi tidak untuk aku dan dia
Just don't think about me.	hanya tidak berpikir tentang saya
It's easy to find them.	sangat mudah untuk menemukan mereka
And even better, fast.	dan bahkan lebih baik cepat
He's down there.	dia ada di bawah sana
We got in loud and fast.	kami masuk dengan keras dan cepat
This one is very good.	yang satu ini sangat bagus
We want where we stand.	kami ingin tempat kami berdiri
It takes a little time.	itu membutuhkan sedikit waktu
Every night was different.	setiap malam itu berbeda
He will not wish love to anyone.	dia tidak akan berharap cinta pada siapa pun
Don't just know enough to do a good job.	jangan hanya cukup tahu untuk melakukan pekerjaan dengan baik
He made it pretty clear.	dia membuatnya cukup jelas
In an obscure way, you know.	dengan cara yang tidak jelas anda tahu
This will be done below.	ini akan dilakukan di bawah ini
Yes, there are people who do such a thing.	ya ada orang yang melakukan hal seperti itu
If he doesn't, he doesn't.	jika dia tidak dia tidak
That should make it clearer.	itu harus membuatnya lebih jelas
These people to you.	orangorang ini ke anda
I still do it now.	saya masih melakukannya sekarang
I want some of you at home.	saya ingin beberapa dari anda di rumah
Which one?.	yang mana
It was different back then, you know.	itu berbeda saat itu anda tahu
It shouldn't, at least not now.	seharusnya tidak setidaknya tidak sekarang
That must be amazing.	itu pasti luar biasa
It's pretty easy these days, you know.	ini cukup mudah hari ini anda tahu
It's all really a bit surreal.	itu semua benarbenar sedikit nyata
Let them do their job.	biarkan mereka melakukan pekerjaan mereka
At that time almost nothing mattered.	pada waktu itu hampir tidak ada yang berarti
This works a lot right.	ini banyak bekerja dengan benar
It must have worked for some.	pasti berhasil untuk beberapa
Those who cannot die.	mereka yang tidak bisa mati
Otherwise, you won't do it.	jika tidak anda tidak akan melakukannya
We really are ourselves.	kami benarbenar menjadi diri kami sendiri
Everyone had a great time.	setiap orang memiliki waktu yang menyenangkan
You know it can't.	anda tahu itu tidak bisa
They feel that few really know what they are doing.	mereka merasa hanya sedikit yang benarbenar tahu semua yang mereka lakukan
They did a great job.	mereka melakukan pekerjaan yang bagus
Then the woman spoke.	kemudian wanita itu berbicara
