There and then.	teo ary avy eo
We are on the right path.	eo aminny lalana marina isika
But none of this is really true.	saingy tsy misy aminireo no tena marina
He seems to have no idea.	toy ny tsy manana hevitra izy
But he is mine first.	fa ahy aloha izy
Or he may not have one.	na mety tsy manana iray izy
It is very close.	tena akaiky izany
When he arrives, he will be in a better place.	rehefa tonga izy dia ho eo aminny toerana tsara kokoa
But better than the previous pictures.	saingy tsara kokoa noho ireo sary teo aloha
Yes, you will not get it from me.	eny tsy ho azonao avy amiko izany
It’s really not that hard.	tena tsy sarotra izany
You need it.	mila izany ianao
And it can work in other ways.	ary afaka miasa aminny fomba hafa izany
Or better yet, need to.	na tsara kokoa mila
No, it's fun.	tsia mahafinaritra
But there is no money.	saingy tsy misy ny vola
We are here when you need it.	eto izahay rehefa mila izany ianao
Simple, easy and fast.	tsotra mora ary haingana
This place is perfect.	mety tsara io toerana io
And you are not alone.	ary tsy irery ianao
We both went there.	samy nandeha ho any izahay
He did two jobs.	nanao asa roa izy
It’s like I’m not getting a real job.	ho toy ny tsy mahazo asa tena izy aho
Now we have another problem.	manana olana iray indray isika izao
This is very important.	zavadehibe tokoa izany
And thank you so much.	ary misaotra betsaka
She will be better now when you are here.	ho tsara kokoa izy izao rehefa eto ianao
He still walks everywhere.	mbola mandeha eny rehetra eny izy
He can make a lot of money.	afaka mahazo vola be izy
Soon.	tsy ho ela
One more step.	dingana iray indray
He loves her, and you love her.	tiany izy ary tianao izy
I want them to be strong.	tiako ho mafy izy ireo
You know you are there.	fantatrao fa ao ianao
What a crazy year.	tena taona adala
For once, he did no wrong.	indray mandeha izy dia tsy nanao ratsy
Not when you find someone who loves you.	tsy rehefa mahita olona tia anao ianao
But they are real.	tena zavamisy anefa izy ireo
This is also very important.	tena zavadehibe ihany koa izany
There are results.	misy ny vokatra
Now, this is the first picture.	ankehitriny ity no sary voalohany
The one was immediate.	teo no ho eo ilay iray
But we need two approaches.	saingy mila fomba roa izahay
Not a really good thing.	tsy zavatra tsara tokoa
But we can’t do it without you.	saingy tsy afaka manao izany izahay raha tsy misy anao
In other words, no.	aminny teny hafa tsia
He did not mention other women.	tsy nilaza vehivavy hafa izy
Nothing seems to be the last time.	tsy misy toa ny fotoana farany
They didn't say anything to me.	tsy nilaza na inona na inona tamiko izy ireo
It’s already beautiful.	efa tsara tarehy
These are the.	ireo dia ny
They are not all good.	tsy tsara daholo izy ireo
You really have no other choice.	tena tsy manana safidy hafa mihitsy ianao
He didn't like it there.	tsy tiany ilay izy tany
It will be the same as this one.	ho toy ity iray ity ihany izany
She has never looked more beautiful.	tsy mbola nijery tsara tarehy kokoa izy
What a wonderful word.	tena teny mahafinaritra
Alone is such a bad game.	irery dia lalao ratsy toy izany
And it's all true.	ary marina daholo izany
I think women should do what they want.	heveriko fa tokony hanao izay tiany ny vehivavy
Great time for work.	fotoana lehibe ho anny asa
It’s even better.	tsara mihitsy aza izany
And they will.	ary hanao izany izy ireo
He will not come though.	tsy ho avy izy na izany aza
But he does nothing.	tsy manao na inona na inona anefa izy
Doing the right thing.	manao zavatra tsara
Apparently he was free.	hita fa afaka izy
He was also happy to see us.	faly koa izy rehefa nahita anay
If he will.	raha hanao izany izy
They are all meant for action.	izy rehetra dia natao ho anny hetsika
I'm tough.	mafy aho
He loves everyone and everything.	tiany ny olona rehetra sy ny zavatra rehetra
But it was a normal night.	alina mahazatra anefa
You know very well that he is not in the house.	fantatrao tsara fa tsy ao aminny trano izy
When he is there, he is there.	rehefa eo izy dia eo
I said do both !.	hoy aho hoe samy ataovy
I want everyone to do it for me.	tiako ny hanao izany amiko ny rehetra
Love and cherish them.	tia sy tia azy ireo
Not the right age.	tsy ny taona mety
No, not always.	tsia tsy izany foana
He will be selfish.	ho tia tena izy
He may have a picture.	mety manana sary izy
You have to do a good job with him.	tsy maintsy manao asa tsara miaraka aminy ianao
Not that we are.	tsy hoe isika
At the time it was probably the right path.	taminizany fotoana izany angamba no lalana marina
Such a lot of money.	vola be toy izany
I did it one night.	nanao izany aho indray alina
We should be happy when others love something.	tokony ho faly isika rehefa tia zavatra ny hafa
You have to go all the way.	mila mandeha aminny lalana rehetra ianao
There it is, somewhere.	misy izy io any ho any
Such a woman.	vehivavy toy izany
A little different.	hafa kely
I know this place.	fantatro io toerana io
There are other problems, yes.	misy olana hafa eny
It’s fun to do things.	mahafinaritra ny manao zavatra
There must be an end.	tsy maintsy misy ny farany
He seemed very happy.	toa faly tokoa izy
You need action.	mila hetsika ianao
I got a job.	nahazo asa aho
The next time will come.	ho avy ny fotoana manaraka
The words are not true.	ny teny dia tsy marina
We don’t do it, but he did it.	tsy manao izany izahay fa izy no nanao izany
It was all there.	teo daholo izany
This process is not easy.	tsy mora izany dingana izany
But it’s much more than that as well.	saingy mihoatra lavitra noho izany ihany koa
I know about you.	fantatro ny momba anao
Nothing big, actually.	tsy misy lehibe raha ny marina
He knew he loved them both.	fantany fa tiany izy roa
He works hard everywhere.	miasa mafy eny rehetra eny izy
Right now we can just look at pictures.	aminizao fotoana izao dia afaka mijery sary fotsiny isika
There was and never will be.	tsy nisy ary tsy hisy mihitsy
I did the most work.	nanao asa be indrindra aho
The woman cannot do wrong.	tsy afaka manao ratsy ilay vehivavy
But this is not a trivial story.	saingy tsy tantara tsy misy dikany izany
It all came.	tonga daholo izany
To do so.	mba hanao izany izy
You are with them.	miaraka aminizy ireo ianao
You look good.	mijery tsara ianao
We cannot surpass everything.	tsy afaka mihoatra ny zavadrehetra isika
Now, they are having a great time.	ankehitriny manana fotoana mahafinaritra izy ireo
He is only a man.	lehilahy ihany izy
I never thought about it.	tsy nieritreritra mihitsy aho
We did nothing wrong.	tsy nanao ratsy izahay
Often very fast.	matetika dia haingana be
They are gone too.	efa lasa koa izy ireo
Just a little bit.	kely fotsiny
To me, the story is almost complete.	amiko dia efa saika feno tanteraka ilay tantara
It always is.	foana izany
But that is not enough for me.	tsy ampy ahy anefa izany
Yes, that may not be the best idea.	eny mety tsy izany no hevitra tsara indrindra
For me it will be soon.	ho ahy tsy ho ela izany
I never wanted to come.	tsy te ho tonga mihitsy
He couldn't do anything about it.	tsy afaka nanao na inona na inona momba izany izy
Stupid, but a game.	adala fa lalao
Ideas are very important.	tena zavadehibe ny hevitra
The potential is huge.	ny mety dia lehibe
Certainly not in the past.	azo antoka fa tsy toy izany izy taloha
They had to travel far, as before.	tsy maintsy nandeha lavitra izy ireo toy ny teo aloha
That is, do what is right now.	izany hoe ataovy izay mety aminizao fotoana izao
Now, none of them are there.	ankehitriny tsy misy aminizy ireo ao
There are a lot of them.	be dia be ny azy
He didn't even see me.	tsy nahita ahy akory izy
And they were full of people.	ary feno olona izy ireo
You can't do without it.	tsy afaka manao raha tsy misy azy
He had an action for everything.	nanana hetsika ho anny zavadrehetra izy
He is a special man.	lehilahy manokana izy
He had them.	nanana azy ireo izy
I make a lot of money.	mahazo vola be aho
Everything about him seems different.	toa hafa daholo ny momba azy
You really are.	tena ianao ihany
We have to make money.	tsy maintsy mahazo vola isika
Or he may be wrong.	na mety ho diso izy
It's not like me.	tsy toa ahy izany
If not faster.	raha tsy haingana kokoa
I’m glad they finally thought of you.	faly aho fa nieritreritra anao izy ireo taminny farany
It seems the same.	toa izany ihany
This is a picture.	sary io
He’s not too bad.	tsy dia ratsy loatra izy
That’s the story, though.	izany no tantara na izany aza
He wanted to be alone.	te ho irery izy
In fact, we both did.	raha ny marina dia samy nanao izany izahay
He couldn't do that to her, not now.	tsy afaka nanao izany taminy izy tsy izao
They are meant for people.	natao ho anny olona izy ireo
No, we don’t.	tsia tsy manao izany izahay
Not just for me, for everyone.	tsy ho ahy ihany ho anny rehetra
If he had it, you would know it.	raha nanana izany izy dia ho fantatrao izany
Others cannot.	ny hafa tsy afaka
I just love him.	tia azy fotsiny aho
Yes, we have it all.	eny manana izany rehetra izany isika
Many will be there just like you.	maro no ho eo toa anao
It shouldn't be.	tsy tokony ho izany
Everyone sees it once and for all.	samy mahita izany indray mandeha ny rehetra
And it’s really not that hard.	ary tena tsy dia sarotra izany
There may be other ways.	mety misy fomba hafa
He is very, very good.	tena tsara tokoa izy
She might lose herself to this guy.	mety ho very ny tenany aminity lehilahy ity izy
I will not do that to you.	tsy hanao izany aminao aho
Not everyone did.	tsy ny rehetra no nanao izany
Both for their own.	samy ho aminny azy avy
It’s not the same at all.	tsy mitovy mihitsy
I think these people must be different.	heveriko fa tsy maintsy ho hafa ireo olona ireo
It used to be easier.	mora kokoa izany taloha
This game was in it.	ity lalao ity dia tao anatiny
Not unless you are very fast.	tsy raha tsy hoe haingana be ianao
Too much had to be done.	be loatra ny tsy maintsy natao
If so, that’s fine.	raha eny tsara izany
And you? 	ary ianao
He was the first, you know.	izy no voalohany fantatrao
You still need to do the right thing.	mbola mila manao ny tsara ianao
I have seen it.	efa nahita aho
We are from the same place.	avy aminny toerana iray ihany izahay
This is very important to me.	tena lehibe ho ahy izany
Great and great choice.	safidy lehibe sy lehibe
They are no longer possible.	tsy azo atao intsony izy ireo
We are so happy to have you here.	tena faly izahay manana anao eto
It was a wonderful time.	fotoana mahafinaritra izany
Like, very simple.	toy ny tena tsotra
Things in themselves are nothing special.	ny zavatra aminny tenany dia tsy misy zavatra manokana
Otherwise, they won’t do the same.	raha tsy izany dia tsy hanao izany koa izy ireo
He follows her around or she follows him.	manaraka azy manodidina izy na izy manaraka azy
You probably already know that.	efa fantatrao angamba izany
One day it will all make sense.	indray andro any dia hisy dikany daholo izany
The first option is no choice.	ny safidy voalohany dia tsy misy safidy
This is for a specific reason.	izany dia noho ny antony manokana
The smaller man was too fast for him.	haingana loatra taminy ilay lehilahy kely kokoa
He had no surroundings.	tsy nanana manodidina izy
And we had a great time.	ary nanana fotoana tsara izahay
He is very important.	tena ilaina izy
And there it is.	ary misy izany
It’s easy and very versatile.	mora izany ary tena maro be
There was nothing lacking in it.	tsy nisy tsy ampy mihitsy ilay izy
Maybe we should do it a little more.	angamba tokony hanao izany kely kokoa
Yes, we will.	eny hanao izany isika
And this is the fun part.	ary ity no ampahany mahafinaritra
And that's it, you know.	ary izany no izy fantatrao
But it didn’t die, even close.	saingy tsy maty izany na dia akaiky aza
This is the first and biggest problem.	io no olana voalohany sy lehibe indrindra
Of course, history will come.	mazava ho azy fa ho avy ny tantara
Not on the ground nearby.	tsy teo aminny tany teo akaiky teo
The man is still dead.	mbola maty ihany ilay lehilahy
Sometimes it goes well, and sometimes it doesn’t.	indraindray mandeha tsara izany ary indraindray tsy mandeha
You still need good results.	mbola mila vokatra tsara ianao
But they may not be.	saingy mety tsy izy ireo
It doesn't seem to fit him anymore.	toa tsy mety aminy intsony
No other work.	tsy misy asa hafa
You got a good idea.	nahazo hevitra tsara ianao
And it doesn’t work.	ary tsy mandeha izany
I lost mine too.	very ny ahy koa
The following year he was at war again.	taminny taona manaraka dia teo aminny ady indray izy
It is only possible for now.	aminizao fotoana izao ihany no azo atao
I just had to be there.	tsy maintsy teo fotsiny aho
I think he knows that.	heveriko fa fantany izany
There was nothing like them.	tsy nisy toa azy ireo
I think it came naturally.	heveriko fa tonga ho azy izany
